author:ID(Author)
"""Colored Quartet"" (name unknown)"
"Aaberg, J. C. (Jens Christian)"
"Addison, Joseph"
"Addison, Julia de Wolf Gibbs"
"Addleshaw, Percy"
"Ade, George"
"Adeney, Walter F. (Walter Frederic)"
"Ader, Guillaume"
"Adkins, W. Bion"
"Adlam, George Henry Joseph"
"Adler, Felix"
"Adler, G. J. (George J.)"
"Adler, Lewis H."
"Adlercreutz, Gustav Magnus"
"Adlersfeld-Ballestrem, Eufemia von"
"Adossidès, A."
"Aduarte, Diego"
"Ady, Endre"
"Adye, John, Sir"
"Aelfric, Abbot of Eynsham"
"Aflalo, Frederick G. (Frederick George)"
"Afton, Effie"
"Agassis, F. J."
"Agassiz, Alexander"
"Agassiz, Louis"
"Agee, Alva"
"Ages, Lucie des"
"Agg, T. R. (Thomas Radford)"
"Agnel, Émile"
"Agostinho, José"
"Agrell, Alfhild"
"Agricola, Georg"
"Agrippa, Camillo"
"Aguado, Pedro de, active 16th century"
"Aguilar, Grace"
"Aguinaldo, Emilio"
"Ahlborn, Richard E."
"Ahlefeld, Charlotte von"
"Ahlqvist, August"
"Aho, Juhani"
"Aho, Kalle"
"Ahrenberg, Jacob"
"Aicard, Jean"
"Aiken, Conrad"
"Aikin, John"
"Aikin, Lucy"
"Aikio, Matti"
"Aikman, Charles Morton"
"Aikman, William"
"Aimard, Gustave"
"Aimwell, Walter"
"Ainger, Alfred"
"Ainian, Demetrios"
"Ainslie, Arthur"
"Ainsworth, Percy C. (Percy Clough)"
"Ainsworth, William Harrison"
"Airola, Väinö"
"Airy, George Biddell"
"Aitken, Edward Hamilton"
"Aitken, Robert"
"Akenside, Mark"
"Akiander, Matthias"
"Akin, Florence"
"Akins, Thomas B."
"Aksakov, S. T. (Sergei Timofeevich)"
"Akutagawa, Ryunosuke"
"AlHydar, Majid"
"Aladel, Jean Marie"
"Alarcon, Pedro de"
"Alarcón, Pedro Antonio de"
"Alas, Leopoldo"
"Albee, John"
"Alberdingk Thijm, J. A. (Josephus Albertus)"
"Albergaria, António José da Costa Couto Sá de"
"Alberger, John"
"Albertazzi, Adolfo"
"Alberti, Tommaso"
"Alberto da Silva, Caetano"
"Albertson, Catherine"
"Albertson, Ralph"
"Alcock, Deborah"
"Alcott, Amos Bronson"
"Alcott, Louisa May"
"Alcott, William A. (William Andrus)"
"Alden, John B. (John Berry)"
"Alden, Raymond MacDonald"
"Alderman, L. R. (Lewis Raymond)"
"Alderson, Matthew W."
"Aldrich, Anne Reeve"
"Aldrich, Mildred"
"Aldrich, Thomas Bailey"
"Aldridge, Janet"
"Alec-Tweedie, Mrs. (Ethel)"
"Alencar, José Martiniano de"
"Aleramo, Sibilla"
"Aletrino, Arnold"
"Alexander, Archibald B. D. (Archibald Browning Drysdale)"
"Alexander, Archibald"
"Alexander, Charles Wesley"
"Alexander, De Alva Stanwood"
"Alexander, Francesca"
"Alexander, Gross"
"Alexander, James W. (James Waddel)"
"Alexander, John L."
"Alexander, Joseph H."
"Alexander, Mrs."
"Alexander, Virginia M."
"Alexander, William"
"Alexis, Willibald"
"Alfieri, Vittorio"
"Alford, George Howard"
"Alford, Henry"
"Alford, Marianne Margaret Compton Cust, Viscountess"
"Alfriend, Frank H. (Frank Heath)"
"Alfthan, Johannes"
"Alger, Abby Langdon"
"Alger, Horatio, Jr."
"Alger, William Rounseville"
"Algie, R. M. (Ronald Macmillan)"
"Ali, Mohammed"
"Alighieri, Jacopo, active 14th century"
"Alkio, Santeri"
"Allaben, Frank"
"Allain, Marcel"
"Allais, Alphonse"
"Allan, Francis"
"Allan, G. A. T. (George A. T.)"
"Allan, James"
"Allan, Luke"
"Allan, P. B. M. (Philip Bertram Murray)"
"Allardyce, Paul"
"Allbut, Robert"
"Allbutt, T. Clifford (Thomas Clifford)"
"Allcott, John V."
"Allen, Charles Dexter"
"Allen, E. P. S."
"Allen, E. T. (Edward Tyson)"
"Allen, Edith H. (Edith Hedden)"
"Allen, Edith"
"Allen, Emory Adams"
"Allen, Ethan"
"Allen, F. G. (Frank Gibbs)"
"Allen, Frank Waller"
"Allen, G. F. (Grenville F.)"
"Allen, George Hoyt"
"Allen, Gladys"
"Allen, Glover M. (Glover Morrill)"
"Allen, Grant"
"Allen, Hervey"
"Allen, Hugh"
"Allen, Isaac"
"Allen, J. A. (Joel Asaph)"
"Allen, James Edgar"
"Allen, James Lane"
"Allen, James"
"Allen, Jay Winthrop"
"Allen, Lewis Falley"
"Allen, Margaret"
"Allen, Martha Meir"
"Allen, P. S. (Percy Stafford)"
"Allen, Percy"
"Allen, Phoebe"
"Allen, Quincy"
"Allen, Richard Lamb"
"Allen, Stanton P."
"Allen, Thomas Gaskell"
"Allen, Walter"
"Allen, William Alonzo"
"Allen, William Ferneley"
"Allen, William G., active 1849-1853"
"Allen, William H. (WIlliam Harvey)"
"Allen, Willis Boyd"
"Allerton, J. J."
"Allies, T. W. (Thomas William)"
"Allingham, Hugh"
"Allingham, William"
"Allinson, Anne C. E. (Anne Crosby Emery)"
"Allinson, T. R. (Thomas Richard)"
"Allison, Samuel B. (Samuel Buel)"
"Allison, Samuel B. (Samuel Buell)"
"Allison, Young Ewing"
"Allnutt, Sidney"
"Alloway, Mary Wilson"
"Allsop, Robert Owen"
"Allston, Washington"
"Alma, Maude"
"Alma-Tadema, Laurence"
"Almack, Edward"
"Almario, Rosauro"
"Almberg, Emil"
"Almeida Garrett, João Batista da Silva Leitão de, Visconde de"
"Almeida, António de"
"Almeida, José Valentim Fialho de"
"Almeida, Manuel de"
"Almqvist, C. J. L. (Carl Jonas Love)"
"Alphen, Hieronymus van"
"Alpheus, A."
"Alq, Louise d'"
"Alsaker, Rasmus Larssen"
"Altamira, Rafael"
"Altamirano, Ignacio Manuel"
"Altenberg, Peter"
"Altsheler, Joseph A. (Joseph Alexander)"
"Alvares, Rahul"
"Alvarez Guerra, Juan"
"Alvarez y Tejero, Luis Prudencio"
"Alvarez, Agustín"
"Alvarez, José S. (José Sixto)"
"Alvarez, Ticul"
"Alverson, Margaret Blake"
"Alves dos Santos, Augusto Joaquim"
"Amabile, Luigi"
"Amado, Ismael A."
"Amari, Michele"
"Ambient, Mark"
"Ambler, Henry Lovejoy"
"Ambrose, Saint, Bishop of Milan"
"Ambrus, Zoltán"
"Ameno, The Rev. Father Sinistrari of"
"American Bureau of Engineering, Chicago"
"Ames, Azel"
"Ames, Joseph Bushnell"
"Ames, N. (Nathaniel)"
"Amfiteatrov, Aleksandr"
"Amiel, Henri Frédéric"
"Amman, Johann Conrad"
"Amorim, Francisco Gomes de"
"Amos, Flora Ross"
"Amott, Lennox"
"Amsterdam, Willem van"
"Amundsen, Roald"
"Amélineau, E. (Emile)"
"Anchieta, José de"
"Ancillon, Charles"
"Anczyc, Wł. L. (Władysław Ludwik)"
"Andersen Nexø, Martin"
"Andersen, H. C. (Hans Christian)"
"Anderson, A.T."
"Anderson, Ada Woodruff"
"Anderson, Andrew A."
"Anderson, Benjamin M. (Benjamin McAlester)"
"Anderson, Clair Elmore"
"Anderson, David Allen"
"Anderson, Elizabeth"
"Anderson, Ellen L."
"Anderson, Frank B."
"Anderson, Frederick Irving"
"Anderson, Isabel"
"Anderson, J. A."
"Anderson, J. D."
"Anderson, John I."
"Anderson, Karen"
"Anderson, Marilyn D."
"Anderson, Mary E. (Mary Evarts)"
"Anderson, Nephi"
"Anderson, Paul L."
"Anderson, Poul"
"Anderson, Robert E. (Robert Edward), M.A., F.A.S."
"Anderson, Robert Gordon"
"Anderson, Rufus"
"Anderson, Sherwood"
"Anderson, Sydney"
"Anderson, Thomas"
"Anderson, William"
"Andersson, Dan"
"Anderton, Isabella M."
"Anderton, Thomas"
"Andrade, José Ignacio de"
"Andreadis, Andreas"
"Andreas-Salomé, Lou"
"Andree, Richard"
"Andrew, Elizabeth W."
"Andrews, C. C. (Christopher Columbus)"
"Andrews, Charles McLean"
"Andrews, Clarence Leroy"
"Andrews, D. S."
"Andrews, Douglas S."
"Andrews, Elisha Benjamin"
"Andrews, Elizabeth, F.R.A.I."
"Andrews, Jane"
"Andrews, Lincoln C. (Lincoln Clarke)"
"Andrews, Mary Raymond Shipman"
"Andrews, Matthew Page"
"Andrews, Roy Chapman"
"Andrews, Silas M. (Silas Milton)"
"Andrews, William"
"Andrews, Yvette Borup"
"Andreyev, Leonid"
"Andreyev, Leonidas"
"Andriessen, P. J. (Pieter Jacob)"
"Anet, Claude"
"Angelkot, Hermannus"
"Angell, Norman"
"Angellier, Auguste"
"Angellotti, Marion Polk"
"Anghiera, Pietro Martire d'"
"Anglade, Joseph"
"Angyal, Dávid"
"Aniol, Claude B."
"Annandale, Nelson"
"Annesley, Charles, pseud."
"Annet, Peter"
"Anninos, Bampes"
"Anrep-Elmpt, Reinhold"
"Anson, Adrian Constantine"
"Anson, George"
"Anstey, F."
"Anstie, Francis Edmund"
"Anthes, Otto"
"Anthony, Wilder"
"Antin, Mary"
"Antoine, A. (Antoine)"
"Anton, R."
"Antona-Traversi, Camillo"
"Anttila, Selma"
"Anvil, Christopher"
"Anwyl, E. (Edward)"
"Anzengruber, Ludwig"
"Apcar, Diana Agabeg"
"Apess, William"
"Apgar, A. C. (Austin Craig)"
"Apjohn, Fannie Louise"
"Apollinaire, Guillaume"
"Apollonius, Rhodius"
"Apostol, P. N. (Pavel Natanovich)"
"Apostolides, Alex"
"Apperson, George Latimer"
"Appert, Nicolas"
"Appleton, Everard Jack"
"Appleton, Honor C."
"Appleton, Samuel"
"Appleton, Victor"
"Appleton, Victor, II"
"Applin, Arthur"
"Arago, François"
"Aragona, Tullia d'"
"Arana Xajilá, Francisco Hernández"
"Arantes, Hemeterio"
"Arany, János"
"Arany, László"
"Araújo, Joaquim de"
"Arber, Agnes Robertson"
"Arbes, Jakub"
"Arbuthnot, F. F."
"Arbuthnot, George"
"Arbuthnot, John"
"Archard, Charles J."
"Archer, Effie Archer"
"Archer, Jean C."
"Archer, Lee"
"Archer, Richard"
"Archer, Thomas"
"Archer, W. G. (William George)"
"Archer, William"
"Archibald, Joe"
"Arcos, René"
"Ardant du Picq, Charles Jean Jacques Joseph"
"Ardel, Henri"
"Arenal, Concepción"
"Arentschildt, Lt-Col"
"Aretino, Pietro"
"Argyll, John Douglas Sutherland Campbell, Duke of"
"Aria, Mrs."
"Arias, Francisco Gavino de"
"Ariosto, Lodovico"
"Aris, Ernest A. (Ernest Alfred)"
"Arkin, Alan"
"Arlen, Michael"
"Arlidge, J. T. (John Thomas)"
"Arlington Co., Va. County Manager"
"Armando, A."
"Armistead, Wilson"
"Armitage, Ella S."
"Armitage, Robert B."
"Armitt, Mary L."
"Armour, Rebecca Agatha"
"Armstrong, Eliza"
"Armstrong, George"
"Armstrong, H. S."
"Armstrong, James"
"Armstrong, John"
"Armstrong, Margaret"
"Armstrong, W. N."
"Arnault, A.-V. (Antoine-Vincent)"
"Arnault, Robert"
"Arndt, Ernst Moritz"
"Arndt, Johann"
"Arndt, Margaret"
"Arner, George B. Louis (George Byron Louis)"
"Arniches y Barrera, Carlos"
"Arnim, Ludwig Achim, Freiherr von"
"Arnold, Allan"
"Arnold, Augusta Foote"
"Arnold, Edwin Lester Linden"
"Arnold, Edwin, Sir"
"Arnold, Gertrude Weld"
"Arnold, Hans"
"Arnold, Henry Harley"
"Arnold, Hugh"
"Arnold, Isaac N."
"Arnold, Matthew"
"Arnold, Robert"
"Arnold, Samuel James"
"Arnold, Thomas"
"Arnold, Whately C."
"Arnoldson, Klas Pontus"
"Arnot, William"
"Arnott, Samuel"
"Arnould, Sophie"
"Arr, Stephen"
"Arriaga, Manuel de"
"Arrighi, Cletto"
"Arroyo de la Cuesta, Felipe"
"Arsciwals, Juan Lauro"
"Arthington, Maria"
"Arthur, Chester Alan"
"Arthur, Frances Browne"
"Arthur, James"
"Arthur, Robert"
"Arthur, T. S. (Timothy Shay)"
"Artsybashev, M. (Mikhail)"
"Arundel, Louis"
"Arundell, John Francis"
"Arvey, M. Dale (Martin Dale)"
"Arvidsson, Adolf Ivar"
"Arène, Paul"
"Asbjørnsen, Peter Christen"
"Ascham, Roger"
"Ashbaugh, Ernest J. (Ernest James)"
"Ashby-Sterry, J. (Joseph)"
"Ashdown, Charles Henry"
"Ashe, E. D. (Edward David)"
"Ashford, Daisy"
"Ashley, George T. (George Thomas)"
"Ashmore, Otis"
"Ashton, John"
"Ashton, Warren T."
"Ashwell, Pauline"
"Ashworth, H. P. C."
"Asimov, Isaac"
"Asnyk, Adam"
"Aspelin-Haapkylä, Eliel"
"Aspinall, James"
"Asquith, Margot"
"Asscher, Eva Wilhelmina"
"Asse, Eugène"
"Assing, Ludmilla"
"Assmuss, Eduard Philibert"
"Assollant, Alfred"
"Aston, W. G. (William George)"
"Astor, John Jacob"
"Atgood, William Franklin"
"Athanasius, Saint, Patriarch of Alexandria"
"Athenaeus, of Naucratis"
"Atherton, Gertrude Franklin Horn"
"Atherton, William Henry"
"Atherton, William"
"Atiles, Francisco Del Valle"
"Atkins, Elizabeth"
"Atkins, Gaius Glenn"
"Atkins, Smith D. (Smith Dykins)"
"Atkins, Thomas"
"Atkinson, Eleanor"
"Atkinson, George Francis"
"Atkinson, Henry A."
"Atkinson, Henry"
"Atkinson, J. Beavington"
"Atkinson, J. J. (James Jasper)"
"Atkinson, William Walker"
"Atteridge, A. Hilliard (Andrew Hilliard)"
"Atwater, Emily Paret"
"Atwater, John Birdseye"
"Atwood, Thomas"
"Atwood, Wallace Walter"
"Aubenas, Joseph-Adolphe"
"Aubert de Gaspé, Philippe"
"Aubert, Eugène"
"Aubrey, Frank"
"Aubrey, John"
"Auchincloss, W. S. (William Stuart)"
"Auden, Henry William"
"Audibert, J.-F. (Joseph-François)"
"Audoux, Marguerite"
"Audubon, John James"
"Auerbach, Berthold"
"Aughey, John H. (John Hill)"
"Augusta, Clara"
"Augustine, Saint, Bishop of Hippo"
"Aulard, F.-A. (François-Alphonse)"
"Auldjo, John"
"Aulnoy, Madame d' (Marie-Catherine)"
"Auriac, J. Berlioz d' (Jules Berlioz)"
"Aurén, Petter Wilhelm"
"Austen, Jane"
"Austen, Sidney"
"Austen-Leigh, James Edward"
"Austen-Leigh, Richard Arthur"
"Austin, Alfred"
"Austin, Anne"
"Austin, Caroline"
"Austin, Cyril F."
"Austin, Jane G. (Jane Goodwin)"
"Austin, John Mather"
"Austin, Mary Hunter"
"Austin, R.S."
"Austin, William E."
"Austrian, Delia"
"Author of ""Old Broadbrim"""
"Auzias-Turenne, Raymond"
"Avancini, Avancinio"
"Avary, Myrta Lockett"
"Aveling, Edward B."
"Avery, Harold"
"Aveson, Robert"
"Avilés, José María"
"Awsiter, John"
"Axelson, Maximilian"
"Axiotes, Pan. (Panagiotes)"
"Axon, William E. A. (William Edward Armytage)"
"Axtell, Edward"
"Aycock, Roger D."
"Ayer, I. Windslow"
"Ayer, Joseph Cullen"
"Aynard, Théodore"
"Ayres, Alfred"
"Ayres, Leonard Porter"
"Ayres, Ruby M. (Ruby Mildred)"
"Ayres, S. G. (Samuel Gardiner)"
"Ayrton, Matilda Chaplin"
"Ayscough, John"
"Aytoun, William Edmondstoune"
"Azara, Félix de"
"Azeglio, Massimo d'"
"Azevedo, Guilherme Avelino Chave de"
"Azevedo, Maximiliano de"
"Azuela, Mariano"
"Bab, `Ali Muhammad Shirazi"
"Babbage, Charles"
"Babbitt, Ellen C."
"Babbitt, Irving"
"Babcock, Bernie"
"Babcock, Charles Almanzo"
"Babcock, Edwina Stanton"
"Babcock, Kendric Charles"
"Babcock, Retta"
"Babelon, Ernest"
"Babits, Mihály"
"Babson, Roger Ward"
"Babur, Emperor of Hindustan"
"Baccini, Ida"
"Bach, Johann Sebastian"
"Bacheller, Irving"
"Bachelor, Joseph M. (Joseph Morris)"
"Bachi, Felice"
"Bachman, William Elmer"
"Bachynskyi, IUliian"
"Bacon, Albion Fellows"
"Bacon, Alice Mabel"
"Bacon, Benjamin Wisner"
"Bacon, Delia Salter"
"Bacon, Edwin M. (Edwin Monroe)"
"Bacon, Francis"
"Bacon, Frank"
"Bacon, G. W. (George Washington)"
"Bacon, George B. (George Blagden)"
"Bacon, John M. (John Mackenzie)"
"Bacon, Josephine Daskam"
"Bacon, Leonard Woolsey"
"Bacon, Mary Schell Hoke"
"Badcock, John, active 1816-1830"
"Bade, William L."
"Baden, Frances Henshaw"
"Baden-Powell of Gilwell, Robert Stephenson Smyth Baden-Powell, Baron"
"Baden-Powell, B. H. (Baden Henry)"
"Baden-Powell, Baron Robert Stephenson Smyth"
"Baden-Powell, R. S. S."
"Bader, Clarisse"
"Badger, Jos. E. (Joseph Edward)"
"Badlam, Anna B."
"Baekelmans, Lode"
"Baena, Nuno"
"Baerlein, Henry"
"Bagar, Robert"
"Bagehot, Walter"
"Bagg, Helen"
"Baggally, W. W. (William Wortley)"
"Baggs, Charles Michael"
"Bagley, Clarence"
"Bagley, William C. (William Chandler)"
"Bagnold, Enid"
"Bagot, A. G."
"Bagot, Richard"
"Bagwell, Richard"
"Bahr, Hermann"
"Bai, Juyi"
"Bai, Xingjian"
"Baikie, James"
"Bailey, Arthur Low"
"Bailey, Arthur Scott"
"Bailey, Bernadine"
"Bailey, Carolyn Sherwin"
"Bailey, Cyril"
"Bailey, Florence Merriam"
"Bailey, H. C. (Henry Christopher)"
"Bailey, Henry Turner"
"Bailey, James Blake"
"Bailey, John Cann"
"Bailey, L. H. (Liberty Hyde)"
"Bailey, Roy Rutherford"
"Bailey, Temple"
"Bailey, Washington"
"Bailey, William Francis"
"Bailhache, Clement"
"Baillie, Frederick David"
"Baillie, Joanna"
"Baillie, Marianne"
"Baily, H. Lavinia, (Hannah Lavinia)"
"Baily, Peter"
"Baily, Waldron"
"Bain, Alexander"
"Bain, F. W. (Francis William)"
"Bain, George Washington"
"Baines, Thomas"
"Baird, Frank"
"Baird, Henry Martyn"
"Baird, Jean K. (Jean Katherine)"
"Baird, Samuel J. (John)"
"Baird, Spencer Fullerton"
"Baird, William"
"Bairnsfather, Bruce"
"Baker, Arthur Latham"
"Baker, B. Granville (Bernard Granville)"
"Baker, Benson"
"Baker, Charles Whiting"
"Baker, Cornelia"
"Baker, Elizabeth"
"Baker, Emilie K. (Emilie Kip)"
"Baker, George Augustus"
"Baker, George M. (George Melville)"
"Baker, George Pierce"
"Baker, Henry E. (Henry Edwin)"
"Baker, Ida Strawn"
"Baker, J. L."
"Baker, Karle Wilson"
"Baker, La Reine Helen McKenzie"
"Baker, Olaf"
"Baker, Ray Stannard"
"Baker, Rollin H. (Rollin Harold)"
"Baker, Samuel White, Sir"
"Baker, Sarah S. (Sarah Schoonmaker)"
"Baker, Thomas, active 1700-1709"
"Baker, Wallace E."
"Baker, Willard F."
"Bakewell, Esther"
"Bakewell, Frederick C. (Frederick Collier)"
"Bakunin, Mikhail Aleksandrovich"
"Balagtas, Francisco"
"Balazs, Alexander"
"Balbo, Cesare, conte"
"Balbulus, Notker"
"Balch, Edwin Swift"
"Balch, Frederic Homer"
"Balch, Herbert E."
"Balch, Thomas"
"Balch, William Stevens"
"Baldaque da Silva, Antonio Arthur"
"Baldridge, Cyrus Leroy"
"Baldry, A. L. (Alfred Lys)"
"Baldwin, Faith"
"Baldwin, Gerald"
"Baldwin, James Mark"
"Baldwin, James"
"Baldwin, John D. (John Denison)"
"Baldwin, May"
"Baldwin, Simeon E. (Simeon Eben)"
"Balen, J. Hendrik van"
"Balfour, Francis M. (Francis Maitland)"
"Balfour, Frederic Henry"
"Balfour, Grant"
"Balfour, John Hutton"
"Balfour, Lady Frances"
"Ball, C. J. (Charles James)"
"Ball, Charles"
"Ball, Eustace Hale"
"Ball, Hugo"
"Ball, John"
"Ball, Margaret"
"Ball, Robert S. (Robert Stawell)"
"Ball, Thomas Hanly"
"Ball, W. P. (William Platt)"
"Ball, W. W. Rouse (Walter William Rouse)"
"Ball-Hennings, Emmy"
"Ballantyne, R. M. (Robert Michael)"
"Ballard, Robert"
"Ballou, Hosea"
"Ballou, Maturin Murray"
"Balmer, Edwin"
"Balmer-Rinck, Johann Jakob"
"Balmes, Jaime Luciano"
"Baltzell, W. J. (Winton James)"
"Balyuzi, H.M. (Hasan Muvaqqar)"
"Balzac, Honoré de"
"Balázs, Béla"
"Bamford, Mary E. (Mary Ellen)"
"Ban, Gu"
"Bancks, Gerard W."
"Bancroft, Caroline"
"Bancroft, Edith"
"Bancroft, Elizabeth Davis"
"Bancroft, George"
"Bancroft, Hubert Howe"
"Bancroft, Jane M. (Jane Marie)"
"Bancroft, Jessie Hubbell"
"Bandarra, Gonçalo Anes"
"Bandelier, Adolph Francis Alphonse"
"Bandini, Helen Elliott"
"Banerjea, S. B."
"Banfield, E. J. (Edmund James)"
"Bang, Herman"
"Bangs, John Kendrick"
"Bangs, Outram"
"Banister, Manly"
"Banks, G. Linnaeus (George Linnaeus), Mrs."
"Banks, Louis Albert"
"Banks, Nancy Huston"
"Banks, Nathan"
"Banks, William"
"Bannerman, Helen"
"Banta, Frank"
"Banville, Théodore Faullain de"
"Barata, António Francisco"
"Barbara, Charles"
"Barbarich, Eugenio"
"Barbauld, Mrs. (Anna Letitia)"
"Barbellion, W. N. P."
"Barber, H. (Horatio)"
"Barber, J. T."
"Barber, James, active 1837-1839"
"Barberá, Joaquín"
"Barbey d'Aurevilly, J. (Jules)"
"Barbier, Emile"
"Barbosa, José"
"Barbosa, Vicente"
"Barbour, A. Maynard (Anna Maynard)"
"Barbour, John"
"Barbour, Ralph Henry"
"Barbusse, Henri"
"Barbé, Louis A."
"Barce, Elmore"
"Barcia, Roque"
"Barclay, Florence L. (Florence Louisa)"
"Barclay, Hubert, Mrs."
"Barclay, Lorne W. (Lorne Webster)"
"Barclay, Vera C. (Vera Charlesworth)"
"Barco Centenera, Martín del"
"Barcynska, Countess (Hélène)"
"Bardsley, Charles W."
"Bardsley, Charles Wareing Endell"
"Barefoot, Wesley"
"Barff, Frederick Settle"
"Barfus, E. von (Eginhard)"
"Barham, G. Basil (George Basil)"
"Barhite, Jared"
"Barhydt, Jerome A."
"Barine, Arvède"
"Baring, Maurice"
"Baring-Gould, S. (Sabine)"
"Barker, B. (Benjamin)"
"Barker, C. Hélène"
"Barker, Edward Harrison"
"Barker, J. Ellis"
"Barker, James Nelson"
"Barker, John Marshall"
"Barker, Joseph"
"Barker, Lady (Mary Anne)"
"Barker, Nettie Garmer"
"Barker, Thomas, active 1651"
"Barkley, Henry C."
"Barksdale, Lena E."
"Barksted, William, active 1611"
"Barlow, A. R. (Albert Rowe)"
"Barlow, Glyn"
"Barlow, Jane"
"Barlow, Joel"
"Barlow, Jon C."
"Barlow, R. H. (Robert Hayward)"
"Barlow, Roger"
"Barnard, Charles Inman"
"Barnard, Charles"
"Barnard, Ella K. (Ella Kent)"
"Barnard, William Francis"
"Barnes, Annie Maria"
"Barnes, Charles J. (Charles Joseph)"
"Barnes, Earl"
"Barnes, Frank"
"Barnes, James"
"Barnes, Orange Perry"
"Barnes, Will C. (Will Croft)"
"Barnes, William Horatio"
"Barnes, William"
"Barnes-Grundy, Mabel"
"Barnett, C. Z. (Charles Zachary)"
"Barnett, Evelyn Snead"
"Barnett, Lionel D. (Lionel David)"
"Barney, J. Stewart (John Stewart)"
"Barney, Natalie Clifford"
"Barnfield, Richard"
"Barnum, P. T. (Phineas Taylor)"
"Barnum, Phineas. T."
"Barnum, Richard"
"Barnum, Vance"
"Baroja, Pío"
"Baron, David"
"Baron, Monsieur (Michel)"
"Barr, Amelia E."
"Barr, Capt. James"
"Barr, John"
"Barr, Robert"
"Barr, Stephen"
"Barreto, Moniz"
"Barrett, Charles Raymond"
"Barrett, Eaton Stannard"
"Barrett, Florence Elizabeth Perry, Lady"
"Barrett, Frank"
"Barrett, James Francis"
"Barrett, James W. (James William), Sir"
"Barrett, Katharine Ellis"
"Barrett, Michael"
"Barrett, Orvey S."
"Barrett, Philip"
"Barrett, Robert Emmet"
"Barrett, S. A. (Samuel Alfred)"
"Barrie, J. M. (James Matthew)"
"Barrili, Anton Giulio"
"Barrillon, François-Guillaume"
"Barrington, Jonah"
"Barrington, Russell, Mrs."
"Barrière, Théodore"
"Barron, Clarence W. (Clarence Walker)"
"Barron, Edward"
"Barron, James"
"Barron, Samuel Benton"
"Barroso, Carlos"
"Barrow, Isaac"
"Barrow, John, Sir"
"Barrow, Katherine Mary"
